project,bug_id,n_test_suites,max_test_cases,n_modified_classes
Cli,1,1,1,1
Cli,2,1,1,1
Cli,3,1,1,1
Cli,4,1,2,1
Cli,5,2,1,1
Cli,7,1,1,1
Cli,8,1,1,1
Cli,9,2,1,1
Cli,10,1,1,1
Cli,11,1,1,1
Cli,12,1,3,1
Cli,13,1,1,3
Cli,14,1,1,1
Cli,15,1,2,1
Cli,16,5,3,4
Cli,17,1,1,1
Cli,18,1,1,1
Cli,19,1,1,1
Cli,20,1,1,1
Cli,21,1,1,3
Cli,22,2,1,1
Cli,23,1,2,1
Cli,24,1,1,1
Cli,25,1,1,1
Cli,26,1,1,1
Cli,27,3,1,1
Cli,28,1,1,1
Cli,29,1,1,1
Cli,30,5,2,2
Cli,31,1,1,3
Cli,32,1,2,1
Cli,33,1,1,1
Cli,34,2,1,2
Cli,35,1,1,1
Cli,36,1,1,2
Cli,37,1,1,1
Cli,38,1,1,1
Cli,39,1,2,1
Cli,40,1,1,1
Closure,134,2,1,2
Closure,135,2,1,2
Closure,136,3,2,2
Closure,137,2,4,3
Closure,138,2,3,2
Closure,139,1,3,1
Closure,140,1,1,1
Closure,141,3,5,2
Closure,142,2,1,2
Closure,143,2,2,2
Closure,144,7,31,4
Closure,145,1,2,1
Closure,146,1,1,1
Closure,147,2,2,2
Closure,148,2,5,2
Closure,149,1,1,4
Closure,150,1,2,1
Closure,151,1,1,1
Closure,152,1,3,1
Closure,153,1,2,2
Closure,154,1,1,2
Closure,155,1,7,3
Closure,156,1,2,1
Closure,157,6,4,3
Closure,158,1,2,3
Closure,159,1,1,1
Closure,160,1,1,1
Closure,161,1,1,1
Closure,162,1,1,2
Closure,163,1,3,2
Closure,164,3,1,1
Closure,165,1,1,4
Closure,166,1,2,1
Closure,167,2,2,2
Closure,168,1,1,1
Closure,169,2,1,6
Closure,170,1,1,1
Closure,171,2,2,2
Closure,172,1,1,1
Closure,173,2,2,2
Closure,174,1,3,3
Closure,175,2,3,1
Closure,176,1,1,1
Codec,1,5,1,3
Codec,2,2,1,1
Codec,3,1,1,1
Codec,4,1,2,1
Codec,5,2,1,1
Codec,6,1,1,1
Codec,7,1,2,1
Codec,8,1,1,2
Codec,9,1,1,1
Codec,10,1,1,1
Codec,11,1,5,1
Codec,12,2,6,1
Codec,13,1,2,3
Codec,14,1,1,6
Codec,15,1,1,1
Codec,16,1,1,1
Codec,17,1,1,1
Codec,18,1,2,1
Collections,25,1,1,1
Collections,26,1,1,1
Collections,27,1,1,1
Collections,28,1,1,1
Compress,1,1,1,1
Compress,2,1,1,1
Compress,3,1,1,1
Compress,4,2,9,4
Compress,5,1,1,1
Compress,6,1,1,1
Compress,7,1,1,1
Compress,8,1,1,1
Compress,9,1,1,1
Compress,10,1,1,1
Compress,11,1,1,1
Compress,12,1,1,1
Compress,13,2,1,1
Compress,14,1,1,1
Compress,15,1,1,1
Compress,16,1,1,1
Compress,17,1,1,1
Compress,18,1,1,1
Compress,19,1,1,1
Compress,20,1,1,1
Compress,21,1,8,1
Compress,22,1,1,1
Compress,23,1,1,1
Compress,24,1,1,1
Compress,25,1,1,1
Compress,26,1,2,1
Compress,27,1,1,1
Compress,28,1,1,1
Compress,29,1,3,7
Compress,30,1,1,1
Compress,31,2,1,1
Compress,32,1,1,1
Compress,33,1,1,2
Compress,34,1,1,1
Compress,35,1,1,1
Compress,36,1,1,1
Compress,37,1,1,1
Compress,38,1,1,1
Compress,39,1,1,1
Compress,40,1,2,1
Compress,41,2,1,1
Compress,42,1,1,2
Compress,43,1,1,1
Compress,44,1,3,1
Compress,45,1,1,1
Compress,46,1,1,1
Compress,47,1,1,1
Csv,1,1,1,1
Csv,2,1,1,1
Csv,3,2,2,1
Csv,4,1,1,1
Csv,5,1,1,1
Csv,6,1,1,1
Csv,7,1,1,1
Csv,8,1,1,1
Csv,9,1,1,1
Csv,10,1,1,1
Csv,11,1,1,1
Csv,12,1,1,1
Csv,13,1,2,2
Csv,14,1,6,1
Csv,15,1,1,1
Csv,16,1,1,1
Gson,1,1,1,1
Gson,2,1,1,1
Gson,3,1,2,1
Gson,4,2,2,2
Gson,5,1,1,1
Gson,6,1,2,1
Gson,7,2,2,1
Gson,8,1,2,1
Gson,9,1,1,3
Gson,10,1,1,1
Gson,11,1,1,1
Gson,12,1,2,1
Gson,13,1,1,1
